Date,Open,High,Low,Close,Adj Close,Volume,Volumej
20/10/2015,85.389999,87.639999,85,86.809998,86.809998,1211500,121.15
21/10/2015,87.519997,87.519997,82.07,82.25,82.25,1319300,131.93
22/10/2015,83.150002,85.800003,82.900002,83.82,83.82,1381600,138.16
23/10/2015,83.32,85.68,83,83.699997,83.699997,1741400,174.14
26/10/2015,83.769997,84.080002,81.160004,82.529999,82.529999,1005100,100.51
27/10/2015,82.290001,82.300003,80.5,80.959999,80.959999,1348200,134.82
28/10/2015,81.050003,84.870003,80.139999,83.940002,83.940002,1450800,145.08
29/10/2015,84.099998,84.279999,81.5,81.720001,81.720001,715000,71.5
30/10/2015,82.339996,84.190002,81.779999,83.959999,83.959999,926300,92.63
2/11/2015,84.419998,86.910004,83.610001,86.190002,86.190002,989600,98.96
3/11/2015,86.07,86.910004,85.209999,85.93,85.93,854200,85.42
4/11/2015,86.480003,88.230003,85.860001,87.809998,87.809998,1354400,135.44
5/11/2015,86.290001,87.220001,83.550003,84.389999,84.389999,2553700,255.37
6/11/2015,98.709999,104.919998,98,102.440002,102.440002,4767400,476.74
9/11/2015,101.809998,102.440002,97.839996,100.050003,100.050003,2010900,201.09
10/11/2015,96.550003,97.889999,95.25,96.290001,96.290001,1652200,165.22
11/11/2015,96.269997,96.93,94.330002,96.75,96.75,1490600,149.06
12/11/2015,95.510002,98.5,95.019997,95.099998,95.099998,1081300,108.13
13/11/2015,94.669998,95.529999,93.050003,93.580002,93.580002,747100,74.71
16/11/2015,93.129997,94.410004,90.589996,92.519997,92.519997,1314300,131.43
17/11/2015,93,94.470001,92.529999,93.739998,93.739998,1079100,107.91
18/11/2015,93.93,95.470001,93.5,95.089996,95.089996,773400,77.34
19/11/2015,95.019997,95.690002,93.440002,93.870003,93.870003,695500,69.55
20/11/2015,94.25,94.839996,92.650002,93.589996,93.589996,618400,61.84
23/11/2015,93.540001,95.959999,92.830002,94.730003,94.730003,877200,87.72
24/11/2015,93.800003,95.43,93.040001,95.019997,95.019997,1080500,108.05
25/11/2015,95,97.480003,94.529999,96.959999,96.959999,993100,99.31
27/11/2015,96.639999,98.68,96.639999,97.669998,97.669998,596600,59.66
30/11/2015,97.639999,98,95.800003,97.029999,97.029999,799900,79.99
1/12/2015,97.400002,98.150002,96.25,97.610001,97.610001,733000,73.3
2/12/2015,97.5,97.809998,94.519997,94.989998,94.989998,828100,82.81
3/12/2015,95.239998,95.580002,91.050003,92.449997,92.449997,1218100,121.81
4/12/2015,92.68,94.199997,91.790001,94.099998,94.099998,753500,75.35
7/12/2015,93.25,94.110001,92.18,92.57,92.57,664800,66.48
8/12/2015,91.440002,94.029999,91.199997,93.629997,93.629997,834300,83.43
9/12/2015,93.5,93.93,90.879997,91.25,91.25,602400,60.24
10/12/2015,91.489998,94.199997,90.860001,92.43,92.43,838400,83.84
11/12/2015,90.790001,91.790001,87.879997,88.230003,88.230003,958700,95.87
14/12/2015,88.230003,89.779999,86.82,88.239998,88.239998,551900,55.19
15/12/2015,88.559998,90.290001,88.349998,89.449997,89.449997,646700,64.67
16/12/2015,90.449997,92.489998,89.449997,92.199997,92.199997,757800,75.78
17/12/2015,92.370003,93.139999,90.150002,90.209999,90.209999,654900,65.49
18/12/2015,90.169998,90.459999,88.209999,88.669998,88.669998,940300,94.03
21/12/2015,89.489998,89.489998,87.839996,89.059998,89.059998,569300,56.93
22/12/2015,89.830002,94.129997,89.730003,93.199997,93.199997,1259600,125.96
23/12/2015,93.330002,95.529999,93.330002,95.169998,95.169998,818200,81.82
24/12/2015,94.870003,95.769997,94.800003,95.480003,95.480003,281000,28.1
28/12/2015,94.730003,95.629997,94.330002,95.059998,95.059998,484100,48.41
29/12/2015,95.519997,96.669998,93.769997,95.089996,95.089996,565500,56.55
30/12/2015,95.099998,96.550003,94.43,94.75,94.75,553000,55.3
31/12/2015,94.470001,95.690002,93.910004,94.220001,94.220001,478400,47.84
4/01/2016,92.709999,93.900002,91.510002,93.790001,93.790001,669600,66.96
5/01/2016,94.220001,94.629997,93.290001,94.300003,94.300003,518000,51.8
6/01/2016,92.860001,94.720001,92.010002,93.5,93.5,853100,85.31
7/01/2016,91.279999,93.139999,88,88.57,88.57,1249500,124.95
8/01/2016,89.059998,90.529999,85.639999,86.43,86.43,1120500,112.05
11/01/2016,86.800003,87.660004,85.220001,87.129997,87.129997,791800,79.18
12/01/2016,88.339996,90.989998,85.580002,88.489998,88.489998,804500,80.45
13/01/2016,87.959999,89.540001,81.120003,82.150002,82.150002,1825800,182.58
14/01/2016,82.150002,83.849998,77.330002,82.730003,82.730003,1563300,156.33
15/01/2016,79,81.709999,77.150002,81.059998,81.059998,1464800,146.48
19/01/2016,81.730003,82.260002,78.650002,80.889999,80.889999,1312000,131.2
20/01/2016,79.150002,80.099998,74.82,79.410004,79.410004,2119600,211.96
21/01/2016,79.739998,83.260002,78.220001,80.739998,80.739998,1445700,144.57
22/01/2016,81.510002,83.400002,81.239998,81.339996,81.339996,1353100,135.31
25/01/2016,81.120003,81.82,77.349998,77.75,77.75,1197900,119.79
26/01/2016,78.139999,79.529999,75.580002,77.989998,77.989998,915700,91.57
27/01/2016,77.150002,77.230003,73.199997,73.57,73.57,2271300,227.13
28/01/2016,72.470001,81.589996,71.610001,77.849998,77.849998,3549000,354.9
29/01/2016,77.809998,80.93,77.809998,80.239998,80.239998,1241300,124.13
1/02/2016,79.940002,81.25,78.639999,80.900002,80.900002,1011400,101.14
2/02/2016,81.010002,81.010002,78.660004,78.830002,78.830002,1115100,111.51
3/02/2016,77.919998,79.970001,73.730003,79.610001,79.610001,1632000,163.2
4/02/2016,79.489998,82.919998,77.730003,81.75,81.75,2917800,291.78
